Label,MovieName,mLink,rRating,rText,rTitle
positive,Cars 3,/review/rw3799861/,8,NA,Ignore all the bad reviews!  This was a good movie.
positive,Cars 3,/review/rw4192364/,8,NA,Better than Cars 2
positive,Cars 3,/review/rw3746130/,9,NA,An incredible comeback for the Cars franchise
negative,Cars 3,/review/rw3740675/,1,NA,How awful this was
negative,Cars 3,/review/rw3731894/,1,NA,Disappointed
negative,Cars 3,/review/rw3732720/,1,NA,"apart from good graphics, not much excitement here"
negative,Cars 3,/review/rw3732030/,1,NA,Not what I was expecting
negative,Cars 3,/review/rw3736400/,1,NA,Please don't watch the movie if you liked cars 1
negative,Cars 3,/review/rw3734285/,1,NA,Horrible
negative,Cars 3,/review/rw3812645/,1,NA,Not nice at all... Disappointment
negative,Cars 3,/review/rw3841768/,1,NA,Can this movie be anymore PC?
negative,Cars 3,/review/rw3741737/,2,NA,Why
negative,Cars 3,/review/rw3738875/,1,NA,Disappointment for Cars' fan children
negative,Cars 3,/review/rw4065896/,1,NA,A HUGE DISGRACE!!!
negative,Cars 3,/review/rw3848621/,1,NA,Definitely not what was advertised. You lied Pixar :(
positive,Cars 3,/review/rw3862836/,6,NA,"Better than reviews say it is, worse than I expected to be"
negative,Cars 3,/review/rw3840313/,1,NA,Thought we would finally see McQueen win......we never will it seems.....
negative,Cars 3,/review/rw4170861/,5,NA,One of the most dissapointing movie experiences I've ever sat through
negative,Cars 3,/review/rw3745122/,3,NA,Shocking Ending...and not in a good way.
negative,Cars 3,/review/rw3768084/,1,NA,PC crap!
negative,Cars 3,/review/rw3738419/,3,"The first Cars movie is a classic that will be enjoyed for a long time to come. Cars 3 a has a few major problems. - We don't want to live in or know about whatever 'new reality' this movie has created, where Lightning isn't the fastest car anymore. We especially don't want to know that there is an entire new generation of cars that are faster than him. How depressing is that. - The movie has very little of the heart, soul, and humor of the original. It has a very different feel, with the 'next gen' cars speaking and acting like spoilt millennials. Jackson Storm is a nasty piece of work. - If feels like the point of the movie is to reinforce that 'girls can do anything' (like most movies these days). That's all well and good, but it's not what we paid money to actually go and see. We want to watch a movie about the movie's actual hero and main character, Lightning Mcqueen. And we want to see him win and NOT be depressed, old and slow most of the time.",Destroys the aura of Lightning Mcqueen
negative,Cars 3,/review/rw3733748/,1,"I am a huge cars fan, I absolutely loved the first movie, the second movie was still really good, but the first was a classic. 

This movie was an absolute disgrace to the first two. The writers were different and they absolutely destroyed the atmosphere of cars. They brought in way to millennialist stereotypes and decimated the standard set by the first two movies. Things were misquoted from the first movie and characters were poorly developed. 

Don't waste your time or money.",A disgrace to the original Cars
negative,Cars 3,/review/rw3858766/,1,NA,What a huge turnoff. The hero became a quitter because of PC
